policy,policy_label,snr_db,ber,average_iterations,iteration_saving_percent,gs4_count,gs8_count,gs16_count,gs4_percent,gs8_percent,gs16_percent,ber_gap_vs_gs16,ber_gap_vs_mmse,gs16_ber,mmse_ber,frames,total_bits
hardware,Adaptive GS hardware policy,0,0.104625,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0002500000000000002,0.104625,0.104375,1000,8000
balanced,Adaptive GS balanced,0,0.104625,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0002500000000000002,0.104625,0.104375,1000,8000
aggressive,Adaptive GS aggressive,0,0.104625,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0002500000000000002,0.104625,0.104375,1000,8000
aggressive_v2,Adaptive GS aggressive_v2,0,0.104625,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0002500000000000002,0.104625,0.104375,1000,8000
hardware,Adaptive GS hardware policy,2,0.075375,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0,0.075375,0.075375,1000,8000
balanced,Adaptive GS balanced,2,0.075375,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0,0.075375,0.075375,1000,8000
aggressive,Adaptive GS aggressive,2,0.075375,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0,0.075375,0.075375,1000,8000
aggressive_v2,Adaptive GS aggressive_v2,2,0.075375,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0,0.075375,0.075375,1000,8000
hardware,Adaptive GS hardware policy,4,0.055,15.096,5.6499999999999995,0,113,887,0.0,11.3,88.7,0.0002500000000000002,0.0005000000000000004,0.05475,0.0545,1000,8000
balanced,Adaptive GS balanced,4,0.05475,16.0,0.0,0,0,1000,0.0,0.0,100.0,0.0,0.0002500000000000002,0.05475,0.0545,1000,8000
aggressive,Adaptive GS aggressive,4,0.055375,12.304,23.099999999999998,0,462,538,0.0,46.2,53.800000000000004,0.0006250000000000006,0.0008750000000000008,0.05475,0.0545,1000,8000
aggressive_v2,Adaptive GS aggressive_v2,4,0.055875,11.144,30.349999999999998,0,607,393,0.0,60.699999999999996,39.300000000000004,0.001125000000000001,0.0013750000000000012,0.05475,0.0545,1000,8000
hardware,Adaptive GS hardware policy,6,0.0365,15.176,5.149999999999999,0,103,897,0.0,10.299999999999999,89.7,-0.0001250000000000001,0.0008750000000000008,0.036625,0.035625,1000,8000
balanced,Adaptive GS balanced,6,0.036625,14.608,8.699999999999996,0,174,826,0.0,17.4,82.6,0.0,0.0010000000000000009,0.036625,0.035625,1000,8000
aggressive,Adaptive GS aggressive,6,0.037125,12.304,23.099999999999998,0,462,538,0.0,46.2,53.800000000000004,0.0005000000000000004,0.0015000000000000013,0.036625,0.035625,1000,8000
aggressive_v2,Adaptive GS aggressive_v2,6,0.03775,11.072,30.800000000000004,0,616,384,0.0,61.6,38.4,0.001125000000000001,0.002125000000000002,0.036625,0.035625,1000,8000
hardware,Adaptive GS hardware policy,8,0.033,15.116,5.525000000000002,7,100,893,0.7000000000000001,10.0,89.3,0.001125000000000001,0.005000000000000001,0.031875,0.028,1000,8000
balanced,Adaptive GS balanced,8,0.0325,14.72,7.9999999999999964,0,160,840,0.0,16.0,84.0,0.0006250000000000006,0.0045000000000000005,0.031875,0.028,1000,8000
aggressive,Adaptive GS aggressive,8,0.034125,12.124,24.224999999999998,67,384,549,6.7,38.4,54.900000000000006,0.002250000000000002,0.006125000000000002,0.031875,0.028,1000,8000
aggressive_v2,Adaptive GS aggressive_v2,8,0.03425,11.328,29.200000000000003,0,584,416,0.0,58.4,41.6,0.002375000000000002,0.006250000000000002,0.031875,0.028,1000,8000
hardware,Adaptive GS hardware policy,10,0.019375,15.112,5.549999999999999,16,87,897,1.6,8.7,89.7,0.0005000000000000004,0.004375,0.018875,0.015,1000,8000
