snr_db,zf_ber,mmse_ber,gs4_ber,gs8_ber,gs16_ber,adaptive_gs_ber,adaptive_avg_iters,iteration_saving_percent,frames,total_bits
0,0.21125,0.104375,0.105375,0.10475,0.104625,0.104625,16.0,0.0,1000,8000
2,0.166625,0.075375,0.0825,0.07575,0.075375,0.075375,16.0,0.0,1000,8000
4,0.130875,0.0545,0.06925,0.057625,0.05475,0.055,15.096,5.6499999999999995,1000,8000
6,0.090125,0.035625,0.056375,0.03925,0.036625,0.0365,15.176,5.149999999999999,1000,8000
8,0.062375,0.028,0.06475,0.039125,0.031875,0.033,15.116,5.525000000000002,1000,8000
10,0.0425,0.015,0.05425,0.029875,0.018875,0.019375,15.112,5.549999999999999,1000,8000
12,0.025625,0.007875,0.053,0.029,0.014875,0.015375,15.24,4.749999999999998,1000,8000
14,0.01825,0.005375,0.059375,0.03125,0.016875,0.01775,14.928,6.699999999999995,1000,8000
16,0.0095,0.003375,0.062,0.035375,0.017375,0.018,15.228,4.825000000000001,1000,8000
18,0.00875,0.003125,0.064125,0.035,0.0175,0.018375,15.092,5.674999999999997,1000,8000
20,0.0045,0.002,0.059,0.03325,0.017875,0.018625,15.14,5.3749999999999964,1000,8000
