snr_db,float_adaptive_ber,fixed_adaptive_ber,float_gs16_ber,fixed_gs16_ber,fixed_float_adaptive_gap,fixed_float_gs16_gap,float_adaptive_avg_iters,fixed_adaptive_avg_iters,fixed_gs4_percent,fixed_gs8_percent,fixed_gs16_percent
0,0.104625,0.104625,0.104625,0.104625,0.0,0.0,16.0,16.0,0.0,0.0,100.0
2,0.075375,0.0755,0.075375,0.0755,0.0001250000000000001,0.0001250000000000001,16.0,16.0,0.0,0.0,100.0
4,0.055,0.055,0.05475,0.05475,0.0,0.0,15.096,15.096,0.0,11.3,88.7
6,0.0365,0.0365,0.036625,0.036625,0.0,0.0,15.176,15.176,0.0,10.299999999999999,89.7
8,0.033,0.032625,0.031875,0.0315,-0.00037500000000000033,-0.00037500000000000033,15.116,15.116,0.7000000000000001,10.0,89.3
10,0.019375,0.019375,0.018875,0.018875,0.0,0.0,15.112,15.112,1.6,8.7,89.7
12,0.015375,0.015625,0.014875,0.015125,0.0002500000000000002,0.0002500000000000002,15.24,15.24,0.6,8.6,90.8
14,0.01775,0.01775,0.016875,0.016875,0.0,0.0,14.928,14.928,1.6,11.0,87.4
16,0.018,0.018,0.017375,0.017375,0.0,0.0,15.228,15.228,0.8999999999999999,8.3,90.8
18,0.018375,0.0185,0.0175,0.017625,0.0001250000000000001,0.00012499999999999664,15.092,15.092,0.7000000000000001,10.299999999999999,89.0
20,0.018625,0.018625,0.017875,0.017875,0.0,0.0,15.14,15.14,0.7000000000000001,9.700000000000001,89.60000000000001
