snr_db,gs4_count,gs8_count,gs16_count,gs4_percent,gs8_percent,gs16_percent,avg_iters
0,0,0,1000,0.0,0.0,100.0,16.0
2,0,0,1000,0.0,0.0,100.0,16.0
4,0,113,887,0.0,11.3,88.7,15.096
6,0,103,897,0.0,10.299999999999999,89.7,15.176
8,7,100,893,0.7000000000000001,10.0,89.3,15.116
10,16,87,897,1.6,8.7,89.7,15.112
12,6,86,908,0.6,8.6,90.8,15.24
14,16,110,874,1.6,11.0,87.4,14.928
16,9,83,908,0.8999999999999999,8.3,90.8,15.228
18,7,103,890,0.7000000000000001,10.299999999999999,89.0,15.092
20,7,97,896,0.7000000000000001,9.700000000000001,89.60000000000001,15.14
